#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,git,"install git (although it may be already installed)."
,x11-utils,"allows querying information about windows (also contains xprop)."
,apt-utils,"apt utilities."
,xinit,"starts the graphical server."
,polkitd,"manages user policies."
,python3-pip,"pip to install python packages (probably already installed."
,fonts-linuxlibertine,"provides the sans and serif fonts for LARBS."
,fonts-font-awesome,"provides extended glyph support."
,fonts-dejavu,"properly displays emojis."
,lf,"is an extensive terminal file manager that everyone likes."
,libx11-dev,"needed for ueberzug,st etc."
,libxext-dev,"needed for ueberzug."
,libxres-dev,"needed for ueberzug."
P,setuptools,"needed for ueberzug."
,ueberzug,"enables previews in the lf file manager."
,pcmanfm,"a lightwieght file manager"
,bc,"is a mathematics language used for the dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify-bin,"allows desktop notifications."
,dunst,"is a suckless notification system."
,calcurse,"terminal-based organizer for interactive and command line use"
,exfatprogs,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
,python3-qdarkstyle,"provides a dark Qt theme."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,fonts-noto,"is an expansive font package."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,poppler-utils,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,xbacklight,"enables changing screen brightness levels."
,zsh-syntax-highlighting,"provides syntax highlighting in the shell."
,task-spooler,"queues commands or files for download."
,go-mtpfs,"enables the mounting of cell phones."
,htop,"is a graphical and colorful system monitor."
,libxft-dev,"needed for st."
,libharfbuzz-dev,"needed for st."
,libxinerama-dev,"needed for dmenu."
,libx11-xcb-dev,"needed for dwm."
,libxcb-res0-dev,"needed for dwm."
G,https://github.com/shourovrm/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/shourovrm/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/shourovrm/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/shourovrm/dwm.git,"is the window manager."
G,https://github.com/LukeSmithxyz/mutt-wizard,"is a light-weight terminal-based email system."
,suckless-tools,"contains slock, which allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,gpm,"necessary for using mouse in tty."
,policykit-1-gnome,"polkit agent for gksudo."
,libreoffice,"libreoffice for office applications."
,fonts-firacode,"Firacode Nerd Font for st terminal."
,picom,"picom composite manager."
,arc-theme,"gives the dark GTK theme used in LARBS."
,fonts-noto-color-emoji,"is an emoji font."
,sc-im,"is an Excel-like terminal spreadsheet manager."
,fonts-beng-extra,"Bengali Fonts"
NA,librewolf-bin,"is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
NA,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
NA,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
NA,visual-studio-code-bin,"VsCode opensource version."
